用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
始皇迷弟,男,全部已更[抱拳],,一级评论,6,113,2022-07-12 22:34:01
AnnettaAlthea,保密,谢谢,始皇迷弟,二级评论,5,0,2022-08-23 13:16:26
凡事太尽缘份誓必早尽,保密,挺经，曾国藩，18条秘传心法，刚,始皇迷弟,二级评论,5,2,2022-09-03 12:23:21
唐三岁123,保密,哥，有视频版得嘛,始皇迷弟,二级评论,5,0,2023-01-20 17:47:08
雨滴的木木夕,保密,谢谢,始皇迷弟,二级评论,5,1,2023-02-16 21:50:47
苏联面积为376个通辽,男,谢谢,始皇迷弟,二级评论,6,0,2023-05-24 13:37:45
云归来GXKJ,男,牛,始皇迷弟,二级评论,4,0,2023-05-29 20:00:48
东北邓肯,保密,太感谢了,始皇迷弟,二级评论,4,0,2023-10-11 19:25:16
PLC技术,保密,有对应的书吗？,,一级评论,5,12,2022-07-13 23:45:12
始皇迷弟,男,可参考《郦波评说曾国藩家训》,PLC技术,二级评论,6,1,2022-07-14 08:41:41
PLC技术,保密,回复 @始皇迷弟 :谢谢,PLC技术,二级评论,5,0,2022-07-14 09:16:07
柠檬c气泡水,男,在书店看到过曾国藩家书,PLC技术,二级评论,5,0,2023-08-31 01:00:51
菠萝吹雪1995,男,有曾国藩才有湘军，有湘军才能惠及湖南几代读书人，才有宋教仁，以及开天辟地的教员。可以说从曾国藩开始，中国近代历史的齿轮就开始转动了,,一级评论,6,29,2023-07-27 00:27:01
啊恺噢,女,确实是！你看近代有大贡献的人很多都是湖南人,菠萝吹雪1995,二级评论,4,1,2023-11-06 08:02:40
儒雅随和助人为乐,男,回复 @啊恺噢 : 一部近代史，半部湖南人。,菠萝吹雪1995,二级评论,6,0,2023-12-28 16:21:06
秋玉米z,保密,你错了，湖南洋务是张之洞搞的，李鸿章的淮军也抢，安徽怎么没发展起来？，你也太小看工业化了,菠萝吹雪1995,二级评论,5,0,2024-03-06 13:15:41
文素尘,保密,给几十万蓝鲸人免费剃了头,,一级评论,5,14,2022-12-18 13:00:45
AE867a,保密,那是他弟,文素尘,二级评论,5,0,2023-05-23 20:58:49
桃恩正,男,回复 @21112351 : 儒家体系下的圣人连弟弟都管不住，属实好笑。,文素尘,二级评论,5,1,2023-06-21 11:43:25
橘柚香の,男,回复 @桃恩正 :你甚至没听前两集，开头就说曾国藩唯独管不住弟弟，告诫也不听，所以在教育儿子方面更珍重，八岁的时候就向他寄家书,文素尘,二级评论,6,2,2023-07-14 08:33:28
橘柚香の,男,回复 @桃恩正 :猜你没有兄弟姐妹，自家人是最难管的，尤其同辈[呲牙],文素尘,二级评论,6,0,2023-07-14 08:34:25
桃恩正,男,回复 @橘柚香の :弟弟烧杀抢掠无恶不作，哥哥一句我管不住就撇得干干净净。好一个亚圣。,文素尘,二级评论,5,0,2023-07-14 09:12:30
美丽冻人的女子,女,回复 @桃恩正 :[吃瓜]不然呢，弟弟毕竟和他差不多大，爸妈没教育好，不好改变了。但他想着自己儿子还小，为了不让儿子也像弟弟一样，于是开始坚持不懈的写家书教导儿子，我觉得没什么问题啊。他要能让杀人犯改邪归正，那他应该是佛祖而不是圣人了。你不要把人神化了，圣人也是人，他们会吸取教训改变自己和周围人，做出了贡献那就是圣人，人家又没说他是佛祖普度众生。[doge],文素尘,二级评论,4,2,2023-09-04 09:55:34
桃恩正,男,回复 @美丽冻人的女子 :我只问一个问题，曾国荃烧杀抢掠来的资金财富，他有因此得利吗？,文素尘,二级评论,5,0,2023-09-04 10:04:10
桃恩正,男,回复 @美丽冻人的女子 :吃着人血馒头，动动笔头就可以封为圣人。哈哈，好一个圣人啊，好一个没问题。,文素尘,二级评论,5,0,2023-09-04 10:05:09
美丽冻人的女子,女,回复 @桃恩正 :那你有证据他得利了吗？[doge],文素尘,二级评论,4,0,2023-09-04 10:53:36
美丽冻人的女子,女,回复 @桃恩正 :你就是杠，显得你好像角度刁钻一样。承认别人优秀很难吗？[doge],文素尘,二级评论,4,0,2023-09-04 10:54:59
美丽冻人的女子,女,回复 @桃恩正 :咋的，他弟弟犯错他要承担，那他的功劳能不能给他弟弟功过相抵呢？你继续杠呗[doge],文素尘,二级评论,4,0,2023-09-04 10:56:39
机械小弟,保密,回复 @桃恩正 :你也好笑啊，你为什么不当皇帝呢？,文素尘,二级评论,3,0,2023-09-06 12:25:37
桃恩正,男,回复 @行了吧你md :哈哈哈,文素尘,二级评论,5,0,2023-09-06 13:28:55
啊恺噢,女,回复 @桃恩正 :曾国藩生前，就已经表明了不给家人留一点财产，只留自己办丧事的钱，他确实是这样办的。他一辈子都很清廉,文素尘,二级评论,4,1,2023-11-06 08:06:19
keqiu成长的小白,保密,断断续续的听，这次希望可以坚持一段时间,,一级评论,4,11,2022-07-18 21:09:35
keqiu成长的小白,保密,上下集合到一块了，棒,keqiu成长的小白,二级评论,4,0,2022-08-04 22:09:30
keqiu成长的小白,保密,断断续续的听，听完就忘了[大哭],keqiu成长的小白,二级评论,4,0,2022-08-04 22:09:55
